sab,onsettime,autofile_i,ppid,cogload,trialn,RT,disengaged,premature,maxsb,design,TLC_calc,V1,simulated_ttlc,TLC_onset,TLC_takeover,time_remaining,early,TLC_end_of_trial,censored,TLC_failure
-0.3039716,6,0,6,noload,43,6.38345130686503,1,0,0.856883193825734,balanced,8.36787313563842,3,9.55,9.55,3.16654869313497,9,2.61654869313497,0.550000000000001,0,9.55
-0.3039716,6,0,5,noload,21,5.63343255270894,1,0,0.673377959568672,balanced,8.36787313563842,3,9.55,9.55,3.91656744729106,9,3.36656744729106,0.550000000000001,0,9.55
-0.3039716,6,0,4,noload,36,5.91683713865439,1,0,0.701409741,balanced,8.36787313563842,3,9.55,9.55,3.63316286134561,9,3.08316286134561,0.550000000000001,0,9.55
-0.3039716,6,0,9,noload,13,5.43321098258917,1,0,0.771052158,balanced,8.36787313563842,3,9.55,9.55,4.11678901741083,9,3.56678901741083,0.550000000000001,0,9.55
-0.3039716,6,0,7,noload,4,5.93374379909335,1,0,0.822057326,balanced,8.36787313563842,3,9.55,9.55,3.61625620090665,9,3.06625620090665,0.550000000000001,0,9.55
-0.3039716,6,0,2,noload,26,5.86690003927106,1,0,0.695851744489955,balanced,8.36787313563842,3,9.55,9.55,3.68309996072894,9,3.13309996072894,0.550000000000001,0,9.55
-0.3039716,6,0,8,noload,21,6.2501987690506,1,0,0.879227023,balanced,8.36787313563842,3,9.55,9.55,3.2998012309494,9,2.7498012309494,0.550000000000001,0,9.55
-0.3039716,6,0,12,noload,1,7.14954757742015,1,0,1.05551887571115,balanced,8.36787313563842,3,9.55,9.55,2.40045242257985,9,1.85045242257985,0.550000000000001,0,9.55
-0.3039716,6,0,10,noload,34,6.83347978366612,1,0,0.926952476,balanced,8.36787313563842,3,9.55,9.55,2.71652021633388,9,2.16652021633388,0.550000000000001,0,9.55
-0.3039716,6,0,11,noload,21,7.60041771033889,1,0,1.09490019395181,balanced,8.36787313563842,3,9.55,9.55,1.94958228966111,9,1.39958228966111,0.550000000000001,0,9.55
-0.3039716,6,0,4,noload,7,5.83339083650049,1,0,0.701460088,balanced,8.36787313563842,3,9.55,9.55,3.71660916349952,9,3.16660916349952,0.550000000000001,0,9.55
-0.3039716,6,0,6,noload,33,6.13341131157393,1,0,0.814350802,balanced,8.36787313563842,3,9.55,9.55,3.41658868842608,9,2.86658868842608,0.550000000000001,0,9.55
-0.3039716,6,0,4,noload,24,5.53349053884245,1,0,0.641588793,balanced,8.36787313563842,3,9.55,9.55,4.01650946115756,9,3.46650946115756,0.550000000000001,0,9.55
-0.3039716,6,0,9,noload,18,6.36671264881312,1,0,0.837311112,balanced,8.36787313563842,3,9.55,9.55,3.18328735118688,9,2.63328735118688,0.550000000000001,0,9.55
-0.3039716,6,0,11,noload,28,7.63344151904323,1,0,1.10815910402938,balanced,8.36787313563842,3,9.55,9.55,1.91655848095677,9,1.36655848095677,0.550000000000001,0,9.55
-0.3039716,6,0,8,noload,46,6.18349115123045,1,0,0.834545532272151,balanced,8.36787313563842,3,9.55,9.55,3.36650884876956,9,2.81650884876956,0.550000000000001,0,9.55
-0.3039716,6,0,2,noload,32,5.84942697738609,1,0,0.766085717,balanced,8.36787313563842,3,9.55,9.55,3.70057302261391,9,3.15057302261391,0.550000000000001,0,9.55
-0.3039716,6,0,6,noload,0,7.83353990020797,1,0,1.24190707126201,balanced,8.36787313563842,3,9.55,9.55,1.71646009979203,9,1.16646009979203,0.550000000000001,0,9.55
-0.3039716,6,0,1,noload,9,7.30014480018813,1,0,1.148497602,balanced,8.36787313563842,3,9.55,9.55,2.24985519981188,9,1.69985519981188,0.550000000000001,0,9.55
-0.3039716,6,0,6,noload,30,6.68334173485994,1,0,0.929793965,balanced,8.36787313563842,3,9.55,9.55,2.86665826514006,9,2.31665826514006,0.550000000000001,0,9.55
-0.3039716,6,0,12,noload,8,7.00038909307807,1,0,0.97713422158184,balanced,8.36787313563842,3,9.55,9.55,2.54961090692193,9,1.99961090692193,0.550000000000001,0,9.55
-0.3039716,6,0,3,noload,25,5.71725587037918,1,0,0.718364686,balanced,8.36787313563842,3,9.55,9.55,3.83274412962082,9,3.28274412962082,0.550000000000001,0,9.55
